dia0_utt0, neutral
dia49_utt16, joy
dia50_utt0, neutral
dia50_utt1, neutral
dia50_utt2, anger
dia50_utt3, neutral
dia51_utt0, joy
dia51_utt1, joy
dia51_utt2, neutral
dia52_utt0, neutral
dia52_utt1, neutral
dia52_utt2, neutral
dia52_utt3, neutral
dia52_utt4, joy
dia52_utt5, neutral
dia52_utt6, neutral
dia52_utt7, neutral
dia52_utt8, neutral
dia52_utt9, neutral
dia52_utt10, joy
dia52_utt11, anger
dia53_utt0, anger
dia53_utt1, neutral
dia53_utt2, neutral
dia53_utt3, neutral
dia53_utt4, anger
dia53_utt5, joy
dia53_utt6, neutral
dia53_utt7, joy
dia53_utt8, anger
dia53_utt9, neutral
dia53_utt10, neutral
dia53_utt11, joy
dia53_utt12, neutral
dia54_utt0, neutral
dia54_utt1, neutral
dia54_utt2, neutral
dia54_utt3, neutral
dia54_utt4, neutral
dia54_utt5, joy
dia54_utt6, neutral
dia54_utt7, neutral
dia54_utt8, neutral
dia54_utt9, neutral
dia54_utt10, joy
dia54_utt11, joy
dia55_utt0, neutral
dia55_utt1, neutral
dia55_utt2, joy
dia56_utt0, anger
dia56_utt1, joy
dia56_utt2, neutral
dia56_utt3, neutral
dia56_utt4, anger
dia56_utt5, joy
dia56_utt6, neutral
dia56_utt7, neutral
dia56_utt8, neutral
dia56_utt9, neutral
dia56_utt10, joy
dia56_utt11, neutral
dia57_utt0, neutral
dia57_utt1, neutral
dia57_utt2, joy
dia57_utt3, neutral
dia57_utt4, neutral
dia57_utt5, neutral
dia58_utt0, joy
dia58_utt1, joy
dia58_utt2, neutral
dia58_utt3, neutral
dia58_utt4, neutral
dia58_utt5, neutral
dia58_utt6, neutral
dia58_utt7, joy
dia58_utt8, joy
dia58_utt9, neutral
dia58_utt10, neutral
dia58_utt11, neutral
dia58_utt12, joy
dia58_utt13, joy
dia58_utt14, neutral
dia58_utt15, neutral
dia58_utt16, joy
dia59_utt0, neutral
dia59_utt1, neutral
dia59_utt2, neutral
dia60_utt0, neutral
dia60_utt1, neutral
dia60_utt2, neutral
dia60_utt3, neutral
dia60_utt4, neutral
dia60_utt5, neutral
dia60_utt6, joy
dia61_utt0, neutral
dia61_utt1, neutral
dia61_utt2, neutral
dia62_utt0, neutral
dia62_utt1, neutral
dia63_utt0, neutral
dia63_utt1, joy
dia64_utt0, neutral
dia64_utt1, neutral
dia64_utt2, neutral
dia64_utt3, neutral
dia64_utt4, joy
dia64_utt5, neutral
dia64_utt6, neutral
dia64_utt7, neutral
dia64_utt8, joy
dia64_utt9, neutral
dia64_utt10, neutral
dia64_utt11, neutral
dia64_utt12, neutral
dia64_utt13, neutral
dia64_utt14, joy
dia64_utt15, neutral
dia64_utt16, neutral
dia65_utt0, neutral
dia65_utt1, neutral
dia65_utt2, neutral
dia65_utt3, neutral
dia65_utt4, neutral
dia65_utt5, neutral
dia65_utt6, neutral
dia65_utt7, neutral
dia65_utt8, neutral
dia65_utt9, anger
dia65_utt10, neutral
dia66_utt0, neutral
dia66_utt1, joy
dia66_utt2, neutral
dia66_utt3, neutral
dia66_utt4, joy
dia67_utt0, neutral
dia67_utt1, neutral
dia67_utt2, neutral
dia67_utt3, neutral
dia68_utt0, anger
dia68_utt1, neutral
dia68_utt2, neutral
dia68_utt3, neutral
dia68_utt4, neutral
dia68_utt5, anger
dia68_utt6, neutral
dia68_utt7, neutral
dia68_utt8, neutral
dia68_utt9, neutral
dia68_utt10, neutral
dia68_utt11, neutral
dia68_utt12, joy
dia68_utt13, neutral
dia68_utt14, neutral
dia69_utt0, neutral
dia69_utt1, neutral
dia69_utt2, neutral
dia69_utt3, neutral
dia69_utt4, neutral
dia69_utt5, neutral
dia70_utt0, neutral
dia70_utt1, neutral
dia70_utt2, neutral
dia70_utt3, neutral
dia70_utt4, neutral
dia70_utt5, neutral
dia70_utt6, neutral
dia70_utt7, neutral
dia70_utt8, neutral
dia70_utt9, neutral
dia70_utt10, neutral
dia70_utt11, neutral
dia70_utt12, neutral
dia70_utt13, neutral
dia70_utt14, neutral
dia70_utt15, neutral
dia70_utt16, joy
dia70_utt17, anger
dia70_utt18, neutral
dia70_utt19, neutral
dia70_utt20, joy
dia70_utt21, neutral
dia70_utt22, neutral
dia71_utt0, neutral
dia71_utt1, neutral
dia71_utt2, neutral
dia71_utt3, joy
dia71_utt4, neutral
dia71_utt5, joy
dia71_utt6, joy
dia71_utt7, neutral
dia71_utt8, neutral
dia71_utt9, neutral
dia71_utt10, neutral
dia71_utt11, neutral
dia71_utt12, neutral
dia71_utt13, neutral
dia72_utt0, neutral
dia72_utt1, anger
dia72_utt2, anger
dia72_utt3, anger
dia72_utt4, anger
dia72_utt5, neutral
dia72_utt6, anger
dia72_utt7, anger
dia72_utt8, anger
dia72_utt9, neutral
dia72_utt10, neutral
dia72_utt11, joy
dia72_utt12, neutral
dia72_utt13, neutral
dia72_utt14, neutral
dia72_utt15, neutral
dia72_utt16, anger
dia73_utt0, joy
dia73_utt1, neutral
dia73_utt2, neutral
dia73_utt3, neutral
dia73_utt4, neutral
dia73_utt5, neutral
dia73_utt6, neutral
dia73_utt7, joy
dia73_utt8, neutral
dia73_utt9, neutral
dia73_utt10, joy
dia74_utt0, neutral
dia74_utt1, neutral
dia74_utt2, neutral
dia74_utt3, neutral
dia74_utt4, neutral
dia75_utt0, neutral
dia75_utt1, neutral
dia75_utt2, neutral
dia75_utt3, neutral
dia75_utt4, joy
dia75_utt5, neutral
dia76_utt0, neutral
dia76_utt1, neutral
dia76_utt2, joy
dia76_utt3, neutral
dia76_utt4, joy
dia76_utt5, neutral
dia76_utt6, joy
dia76_utt7, neutral
dia76_utt8, anger
dia76_utt9, neutral
dia76_utt10, neutral
dia76_utt11, neutral
dia76_utt12, neutral
dia76_utt13, neutral
dia76_utt14, neutral
dia76_utt15, neutral
dia76_utt16, joy
dia76_utt17, neutral
dia76_utt18, anger
dia77_utt0, neutral
dia77_utt1, neutral
dia77_utt2, joy
dia77_utt3, joy
dia77_utt4, neutral
dia78_utt0, neutral
dia78_utt1, neutral
dia78_utt2, neutral
dia78_utt3, neutral
dia78_utt4, neutral
dia78_utt5, neutral
dia78_utt6, neutral
dia78_utt7, neutral
dia78_utt8, neutral
dia78_utt9, joy
dia79_utt0, neutral
dia79_utt1, neutral
dia80_utt0, joy
dia80_utt1, neutral
dia80_utt2, neutral
dia80_utt3, joy
dia80_utt4, joy
dia80_utt5, neutral
dia80_utt6, joy
dia80_utt7, joy
dia80_utt8, neutral
dia80_utt9, neutral
dia81_utt0, neutral
dia81_utt1, neutral
dia82_utt0, neutral
dia83_utt0, neutral
dia83_utt1, neutral
dia83_utt2, neutral
dia83_utt3, neutral
dia83_utt4, anger
dia83_utt5, joy
dia83_utt6, neutral
dia83_utt7, neutral
dia83_utt8, neutral
dia83_utt9, neutral
dia83_utt10, joy
dia84_utt0, neutral
dia84_utt1, anger
dia84_utt2, neutral
dia85_utt0, joy
dia85_utt1, neutral
dia85_utt2, anger
dia85_utt3, neutral
dia85_utt4, joy
dia85_utt5, anger
dia86_utt0, neutral
dia86_utt1, neutral
dia86_utt2, neutral
dia86_utt3, neutral
dia86_utt4, neutral
dia86_utt5, joy
dia86_utt6, neutral
dia86_utt7, neutral
dia87_utt0, neutral
dia87_utt1, neutral
dia88_utt0, neutral
dia88_utt1, joy
dia88_utt2, neutral
dia88_utt3, joy
dia88_utt4, neutral
dia88_utt5, neutral
dia88_utt6, neutral
dia88_utt7, neutral
dia88_utt8, neutral
dia88_utt9, neutral
dia88_utt10, neutral
dia88_utt11, neutral
dia88_utt12, neutral
dia88_utt13, joy
dia89_utt0, neutral
dia89_utt1, neutral
dia89_utt2, neutral
dia90_utt0, neutral
dia90_utt1, neutral
dia90_utt2, neutral
dia90_utt3, neutral
dia90_utt4, neutral
dia90_utt5, neutral
dia91_utt0, neutral
dia92_utt0, neutral
dia92_utt1, neutral
dia92_utt2, neutral
dia92_utt3, neutral
dia92_utt4, neutral
dia92_utt5, joy
dia93_utt0, neutral
dia93_utt1, joy
dia93_utt2, neutral
dia93_utt3, neutral
dia93_utt4, neutral
dia93_utt8, joy
dia93_utt9, neutral
dia93_utt10, neutral
dia93_utt11, joy
dia93_utt12, neutral
dia93_utt13, neutral
dia93_utt14, neutral
dia93_utt15, neutral
dia94_utt0, neutral
dia94_utt1, neutral
dia94_utt2, neutral
dia95_utt0, neutral
dia95_utt1, joy
dia95_utt2, anger
dia95_utt3, neutral
dia95_utt4, joy
dia95_utt5, neutral
dia95_utt6, neutral
dia95_utt7, neutral
dia95_utt8, neutral
dia95_utt9, neutral
dia95_utt10, neutral
dia95_utt11, joy
dia95_utt12, neutral
dia95_utt13, neutral
dia95_utt14, joy
dia95_utt15, joy
dia95_utt16, neutral
dia95_utt17, neutral
dia95_utt18, neutral
dia95_utt19, neutral
dia96_utt0, joy
dia96_utt1, neutral
dia96_utt2, neutral
dia96_utt3, neutral
dia96_utt4, joy
dia96_utt5, neutral
dia96_utt6, neutral
dia96_utt7, neutral
dia96_utt8, neutral
dia96_utt9, neutral
dia96_utt10, neutral
dia96_utt11, neutral
dia96_utt12, neutral
dia96_utt13, neutral
dia96_utt14, neutral
dia96_utt15, neutral
dia96_utt16, neutral
dia96_utt17, neutral
dia96_utt18, joy
dia96_utt19, neutral
dia96_utt20, neutral
dia97_utt0, neutral
dia97_utt1, joy
dia97_utt2, joy
dia97_utt3, neutral
dia97_utt4, neutral
dia97_utt5, neutral
dia97_utt6, neutral
dia97_utt7, neutral
dia97_utt8, joy
dia97_utt9, neutral
dia97_utt10, neutral
dia97_utt11, joy
dia98_utt0, neutral
dia98_utt1, neutral
dia98_utt2, neutral
dia98_utt3, neutral
dia98_utt4, neutral
dia98_utt5, neutral
dia98_utt6, neutral
dia98_utt7, neutral
dia98_utt8, neutral
dia98_utt9, neutral
dia98_utt10, neutral
dia98_utt11, neutral
dia99_utt0, neutral
dia99_utt1, neutral
dia99_utt2, neutral
dia99_utt3, neutral
dia99_utt4, neutral
dia99_utt5, neutral
dia99_utt6, neutral
dia99_utt7, neutral
dia99_utt8, neutral
dia99_utt9, joy
dia100_utt0, neutral
dia100_utt1, neutral
dia100_utt2, neutral
dia100_utt3, neutral
dia100_utt4, neutral
dia100_utt5, neutral
dia100_utt6, neutral
dia100_utt7, neutral
dia100_utt8, neutral
dia100_utt9, joy
dia100_utt10, neutral
dia100_utt11, neutral
dia100_utt12, neutral
dia100_utt13, neutral
dia100_utt14, neutral
dia100_utt15, neutral
dia100_utt16, neutral
dia100_utt17, neutral
dia100_utt18, neutral
dia100_utt19, neutral
dia101_utt0, joy
dia101_utt1, neutral
dia101_utt2, neutral
dia101_utt3, neutral
dia102_utt0, neutral
dia102_utt1, neutral
dia102_utt2, neutral
dia102_utt3, neutral
dia102_utt4, neutral
dia102_utt5, neutral
dia102_utt6, neutral
dia102_utt7, neutral
dia102_utt8, neutral
dia102_utt9, neutral
dia103_utt0, joy
dia103_utt1, neutral
dia103_utt2, neutral
dia103_utt3, neutral
dia103_utt4, neutral
dia103_utt5, neutral
dia104_utt0, joy
dia104_utt1, joy
dia104_utt2, neutral
dia105_utt0, joy
dia105_utt1, anger
dia105_utt2, joy
dia106_utt0, neutral
dia106_utt1, neutral
dia106_utt2, neutral
dia106_utt3, neutral
dia107_utt0, neutral
dia107_utt1, neutral
dia107_utt2, neutral
dia107_utt3, neutral
dia107_utt4, neutral
dia107_utt5, neutral
dia107_utt6, neutral
dia107_utt7, neutral
dia107_utt8, neutral
dia107_utt9, neutral
dia107_utt10, neutral
dia107_utt11, neutral
dia107_utt12, neutral
dia108_utt0, joy
dia108_utt3, neutral
dia108_utt4, neutral
dia108_utt5, joy
dia108_utt6, joy
dia108_utt7, neutral
dia108_utt8, joy
dia108_utt9, neutral
dia109_utt0, neutral
dia109_utt1, neutral
dia109_utt2, neutral
dia109_utt3, neutral
dia109_utt4, neutral
dia109_utt5, neutral
dia109_utt6, neutral
dia109_utt7, neutral
dia110_utt0, neutral
dia110_utt1, neutral
dia110_utt2, neutral
dia110_utt3, neutral
dia110_utt4, neutral
dia110_utt5, neutral
dia110_utt6, neutral
dia110_utt7, neutral
dia110_utt8, neutral
dia111_utt0, neutral
dia111_utt1, neutral
dia111_utt2, neutral
dia111_utt3, neutral
dia111_utt4, neutral
dia111_utt5, neutral
dia111_utt6, neutral
dia111_utt7, neutral
dia111_utt8, neutral
dia111_utt9, neutral
dia111_utt10, neutral
dia111_utt11, neutral
dia111_utt12, joy
dia111_utt13, neutral
dia111_utt14, neutral
dia112_utt0, neutral
dia112_utt1, neutral
dia112_utt2, neutral
dia112_utt3, neutral
dia112_utt4, joy
dia112_utt5, neutral
dia112_utt6, neutral
dia112_utt7, neutral
dia112_utt8, neutral
dia112_utt9, neutral
dia112_utt10, neutral
dia112_utt11, neutral
dia112_utt12, joy
dia112_utt13, neutral
dia112_utt14, neutral
dia112_utt15, neutral
dia112_utt16, neutral
dia112_utt17, joy
dia112_utt18, neutral
dia112_utt19, joy
dia112_utt20, anger
dia112_utt21, neutral
dia113_utt0, joy
dia113_utt1, neutral
dia113_utt2, neutral
dia113_utt3, neutral
dia113_utt4, joy
dia113_utt5, neutral
dia113_utt6, anger
dia113_utt7, neutral
dia113_utt8, anger
dia113_utt9, neutral
dia113_utt10, neutral
dia113_utt11, neutral
dia113_utt12, joy
dia113_utt13, neutral
dia113_utt14, joy
dia113_utt15, neutral
dia113_utt16, neutral
dia114_utt0, neutral
dia114_utt1, neutral
dia114_utt2, joy
dia114_utt3, anger
dia114_utt4, neutral
dia114_utt5, joy
dia115_utt0, neutral
dia115_utt1, joy
dia115_utt2, joy
dia115_utt3, neutral
dia115_utt4, neutral
dia115_utt5, neutral
dia116_utt0, neutral
dia116_utt1, neutral
dia116_utt2, neutral
dia116_utt3, neutral
dia116_utt4, neutral
dia116_utt5, neutral
dia116_utt6, neutral
dia116_utt7, neutral
dia116_utt8, neutral
dia116_utt9, neutral
dia116_utt10, neutral
dia116_utt11, joy
dia117_utt0, neutral
dia117_utt1, neutral
dia117_utt2, neutral
dia117_utt3, neutral
dia117_utt4, neutral
dia117_utt5, neutral
dia117_utt6, neutral
dia117_utt7, neutral
dia117_utt8, joy
dia118_utt0, neutral
dia118_utt1, neutral
dia118_utt2, anger
dia118_utt3, joy
dia118_utt4, neutral
dia118_utt5, neutral
dia118_utt6, neutral
dia118_utt7, joy
dia118_utt8, neutral
dia118_utt9, joy
dia118_utt10, joy
dia118_utt11, neutral
dia119_utt0, neutral
dia119_utt1, neutral
dia119_utt2, neutral
dia119_utt3, joy
dia119_utt4, neutral
dia119_utt5, joy
dia119_utt6, neutral
dia120_utt0, joy
dia120_utt1, neutral
dia120_utt2, neutral
dia120_utt3, neutral
dia120_utt4, neutral
dia120_utt5, neutral
dia120_utt6, joy
dia120_utt7, neutral
dia120_utt8, neutral
dia120_utt9, neutral
dia120_utt10, neutral
dia120_utt11, neutral
dia120_utt12, neutral
dia120_utt13, neutral
dia120_utt14, neutral
dia120_utt15, neutral
dia120_utt16, joy
dia120_utt17, neutral
dia120_utt18, neutral
dia121_utt0, neutral
dia121_utt1, neutral
dia121_utt2, anger
dia121_utt3, neutral
dia121_utt4, joy
dia121_utt5, neutral
dia122_utt0, neutral
dia122_utt1, neutral
dia122_utt2, neutral
dia122_utt3, anger
dia122_utt4, neutral
dia123_utt0, neutral
dia123_utt1, neutral
dia123_utt2, joy
dia123_utt3, neutral
dia123_utt4, joy
dia123_utt5, neutral
dia123_utt6, joy
dia123_utt7, neutral
dia123_utt8, neutral
dia123_utt9, joy
dia123_utt10, neutral
dia123_utt11, neutral
dia123_utt12, neutral
dia123_utt13, joy
dia123_utt14, neutral
dia123_utt15, neutral
dia124_utt0, neutral
dia124_utt1, neutral
dia124_utt2, neutral
dia124_utt3, neutral
dia124_utt4, neutral
dia124_utt5, neutral
dia124_utt6, neutral
dia124_utt7, joy
dia124_utt8, joy
dia124_utt9, anger
dia124_utt10, joy
dia124_utt11, joy
dia124_utt12, neutral
dia124_utt13, joy
dia124_utt14, neutral
dia125_utt0, joy
dia125_utt1, neutral
dia125_utt2, neutral
dia125_utt3, joy
dia125_utt4, neutral
dia125_utt5, neutral
dia125_utt6, neutral
dia125_utt7, joy
dia125_utt8, neutral
dia125_utt9, neutral
dia125_utt10, neutral
dia125_utt11, neutral
dia125_utt12, neutral
dia125_utt13, anger
dia125_utt14, neutral
dia125_utt15, neutral
dia125_utt16, neutral
dia125_utt17, neutral
dia125_utt18, anger
dia125_utt19, neutral
dia125_utt20, neutral
dia125_utt21, neutral
dia125_utt22, neutral
dia126_utt0, neutral
dia126_utt1, neutral
dia126_utt2, neutral
dia126_utt3, neutral
dia126_utt4, joy
dia126_utt5, neutral
dia126_utt6, neutral
dia126_utt7, neutral
dia126_utt8, anger
dia126_utt9, neutral
dia126_utt10, anger
dia126_utt11, neutral
dia126_utt12, joy
dia126_utt13, joy
dia126_utt14, joy
dia126_utt15, neutral
dia127_utt0, neutral
dia127_utt1, neutral
dia127_utt2, neutral
dia127_utt3, joy
dia127_utt4, neutral
dia127_utt5, neutral
dia128_utt0, neutral
dia128_utt1, neutral
dia128_utt2, neutral
dia128_utt3, joy
